,Protein A,Protein B,No. of Publications
0,P40337,Q16665,79
1,O14920,Q9Y6K9,66
2,P22681,P62993,64
3,P42345,Q8N122,60
4,P05412,P45983,58
5,P49427,P62877,58
6,P29353,P62993,52
7,P25963,Q04206,51
8,Q12834,Q13257,51
9,Q13485,Q15796,50
10,P51668,P62877,49
11,O15111,Q9Y6K9,49
12,P06400,Q01094,48
13,P22681,P27986,48
14,P84022,Q13485,45
15,O15151,Q00987,44
16,P62877,Q13616,44
17,O60566,Q12834,44
18,O60563,P50750,43
19,P40337,Q13617,42
20,O15111,P25963,39
21,P62993,Q07889,39
22,P42345,Q6R327,39
23,P40337,Q15369,38
24,Q13158,Q14790,37
25,O14920,P25963,37
26,P98170,Q9NR28,36
27,P35222,Q9Y297,35
28,Q09472,Q16665,35
29,P06400,P11802,35
30,Q13309,Q13616,34
31,P22681,P46109,34
32,Q13547,Q96ST3,34
33,P61077,P62877,32
34,P51668,Q00987,32
35,P34932,Q9UNE7,31
36,Q13619,Q16531,31
37,P62805,Q09472,31
38,P51668,Q9UNE7,31
39,O15169,P49841,31
40,P63000,Q13153,30
41,P06730,Q13541,30
42,P19438,Q13546,30
43,P12956,P13010,30
44,P22681,Q96B97,30
45,P68431,Q09472,30
46,P06493,P14635,30
47,P51617,Q9Y4K3,30
48,O14920,O15111,29
49,P19838,Q04206,29
50,P51587,Q06609,29
51,Q12933,Q13490,29
52,P01112,P04049,29
53,Q15022,Q15910,28
54,O75530,Q15910,27
55,P49815,Q92574,27
56,P07900,Q9UNE7,27
57,Q09028,Q13547,27
58,Q13618,Q14145,27
59,Q14457,Q8NEB9,27
60,P06400,Q13547,26
61,P46527,Q13309,26
62,Q13546,Q14790,26
63,Q13616,Q9Y297,26
64,P14635,Q12834,26
65,P08047,Q13547,26
66,O43318,Q9NYJ8,26
67,P62913,Q00987,25
68,P42574,P98170,25
69,Q13616,Q86VP6,24
70,P42345,Q13541,24
71,P25054,P35222,24
72,O43318,Q9Y4K3,24
73,P04049,P63104,23
74,Q16531,Q92466,23
75,Q14653,Q92793,23
76,P16220,Q92793,23
77,Q07817,Q92934,23
78,P11802,P46527,23
79,P55211,P98170,23
80,P25963,Q9Y297,22
81,O43684,O60566,22
82,P22681,P46108,22
83,O43318,Q15750,22
84,P25963,Q9Y6K9,21
85,P24928,P50750,21
86,O94776,Q13547,21
87,P23443,P42345,21
88,P19438,Q15628,21
89,P12004,P39748,21
90,Q13546,Q9Y6K9,21
91,Q04206,Q09472,20
92,P11142,Q9UNE7,20
93,P30153,P67775,20
94,O15169,P35222,20
95,P61088,Q15819,20
96,Q04206,Q92793,19
97,P24864,P46527,19
98,P55072,Q9UKV5,19
99,P19838,P25963,19
100,Q13619,Q92466,19
101,Q9Y230,Q9Y265,19
102,P50613,P51946,19
