#geneid1 geneid2 uniprot1 uniprot2 genename1 genename2 biogrid_count
100131801 10063 P0DJ07 Q14061 PET100 COX17 1
100131801 1347 P0DJ07 P14406 PET100 COX7A2 1
10017 10017 Q9HD36 Q9HD36 BCL2L10 BCL2L10 1
10017 10018 Q9HD36 O43521 BCL2L10 BCL2L11 1
10017 581 Q9HD36 Q07812 BCL2L10 BAX 1
10017 596 Q9HD36 P10415 BCL2L10 BCL2 1
10017 638 Q9HD36 Q13323 BCL2L10 BIK 1
10017 841 Q9HD36 Q14790 BCL2L10 CASP8 1
10018 4170 O43521 Q07820 BCL2L11 MCL1 21
10018 581 O43521 Q07812 BCL2L11 BAX 1
10018 596 O43521 P10415 BCL2L11 BCL2 15
10018 597 O43521 Q16548 BCL2L11 BCL2A1 3
10018 598 O43521 Q07817 BCL2L11 BCL2L1 15
10018 7416 O43521 P21796 BCL2L11 VDAC1 1
100188893 1727 Q96B49 P00387 TOMM6 CYB5R3 1
100188893 7384 Q96B49 P31930 TOMM6 UQCRC1 1
100188893 7385 Q96B49 P22695 TOMM6 UQCRC2 1
100272147 6341 P56277 O75880 CMC4 SCO1 1
100272147 9131 P56277 O95831 CMC4 AIFM1 1
100272147 94081 P56277 Q9H9B4 CMC4 SFXN1 1
100287932 10245 O14925 O60830 TIMM23 TIMM17B 2
100287932 116151 O14925 Q96KR6 TIMM23 FAM210B 1
100287932 51079 O14925 Q9P0J0 TIMM23 NDUFA13 1
100287932 57017 O14925 O75208 TIMM23 COQ9 1
100287932 80207 O14925 Q9H6K4 TIMM23 OPA3 1
100287932 84419 O14925 Q9C002 TIMM23 C15orf48 1
100287932 8604 O14925 O75746 TIMM23 SLC25A12 1
100303755 10063 Q6UWS5 Q14061 PET117 COX17 1
10058 10452 Q9NP58 O96008 ABCB6 TOMM40 1
10059 10059 O00429 O00429 DNM1L DNM1L 1
10059 10606 O00429 P22234 DNM1L PAICS 1
10059 10651 O00429 O75431 DNM1L MTX2 1
10059 11315 O00429 Q99497 DNM1L PARK7 1
10059 1159 O00429 P12532 DNM1L CKMT1B 1
10059 125170 O00429 Q96C03 DNM1L MIEF2 1
10059 1716 O00429 Q16854 DNM1L DGUOK 2
10059 2194 O00429 P49327 DNM1L FASN 2
10059 23770 O00429 Q14318 DNM1L FKBP8 1
10059 23787 O00429 Q9NZJ7 DNM1L MTCH1 1
10059 23788 O00429 Q9Y6C9 DNM1L MTCH2 1
10059 25813 O00429 Q9Y512 DNM1L SAMM50 1
10059 26517 O00429 Q9Y5L4 DNM1L TIMM13 1
10059 3028 O00429 Q99714 DNM1L HSD17B10 1
10059 328 O00429 P27695 DNM1L APEX1 1
10059 3945 O00429 P07195 DNM1L LDHB 1
10059 4191 O00429 P40926 DNM1L MDH2 1
10059 4259 O00429 O14880 DNM1L MGST3 1
10059 47 O00429 P53396 DNM1L ACLY 1
10059 51024 O00429 Q9Y3D6 DNM1L FIS1 4
10059 5162 O00429 P11177 DNM1L PDHB 1
10059 51651 O00429 Q9Y3E5 DNM1L PTRH2 1
10059 54471 O00429 Q9NQG6 DNM1L MIEF1 2
10059 54940 O00429 Q9NX40 DNM1L OCIAD1 1
10059 55177 O00429 Q96TC7 DNM1L RMDN3 1
10059 55218 O00429 Q9NVH0 DNM1L EXD2 1
10059 55848 O00429 Q9HBL7 DNM1L PLGRKT 1
10059 56947 O00429 Q9GZY8 DNM1L MFF 2
10059 56993 O00429 Q9NS69 DNM1L TOMM22 1
10059 57506 O00429 Q7Z434 DNM1L MAVS 1
10059 65018 O00429 Q9BXM7 DNM1L PINK1 1
10059 6647 O00429 P00441 DNM1L SOD1 1
10059 7001 O00429 P32119 DNM1L PRDX2 1
10059 79594 O00429 Q969V5 DNM1L MUL1 1
10059 84987 O00429 Q96I36 DNM1L COX14 1
10059 8799 O00429 O96011 DNM1L PEX11B 1
10059 89941 O00429 Q8IXI1 DNM1L RHOT2 1
10059 91137 O00429 Q96AG3 DNM1L SLC25A46 1
10059 9131 O00429 O95831 DNM1L AIFM1 1
10059 94081 O00429 Q9H9B4 DNM1L SFXN1 1
10059 9588 O00429 P30041 DNM1L PRDX6 1
10059 9804 O00429 Q15388 DNM1L TOMM20 1
10059 9927 O00429 O95140 DNM1L MFN2 1
10063 10434 Q14061 O75608 COX17 LYPLA1 1
10063 1312 Q14061 P21964 COX17 COMT 1
10063 1727 Q14061 P00387 COX17 CYB5R3 1
10063 204 Q14061 P54819 COX17 AK2 1
10063 205 Q14061 P27144 COX17 AK4 1
10063 22921 Q14061 Q9Y3D2 COX17 MSRB2 1
10063 25824 Q14061 P30044 COX17 PRDX5 1
10063 25828 Q14061 Q99757 COX17 TXN2 1
10063 2806 Q14061 P00505 COX17 GOT2 1
10063 3032 Q14061 P55084 COX17 HADHB 1
