ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Gene name)	Disease comment	Complex comment	subunits(Gene name syn)	subunits(Protein name)	PubMed ID	Subunits comment	SWISSPROT organism
761	Apoptosis- and splicing-associated protein complex (ASAP-S), SAP18, RNPS1, Acinus-S	Human	None	None	O00422;Q15287;Q9UKV3-3	10284;10921;22985	MI:0004-affinity chromatography technologies;MI:0006-anti bait coimmunoprecipitation	GO:0000398;GO:0006397;GO:0006915;GO:0005634	mRNA splicing, via spliceosome;mRNA processing;apoptotic process;nucleus	11.04.03;40.10.02;70.10	mRNA processing (splicing, 5'-, 3'-end processing);apoptosis (type I programmed cell death);nucleus	SAP18;RNPS1;ACIN1	None	In vitro splicing assays suggest that the ASAP complexes function to repress splicing in vitro and that the ability of RNPS1 (and possibly Acinus-L) to activate splicing is overcome both when it is a component of ASAP and in the presence of the intact complex. In vitro assays using an apoptotic extract strongly indicate that ASAP complexes disassemble during apoptosis.	None;LDC2;ACINUS, KIAA0670	Histone deacetylase complex subunit SAP18;RNA-binding protein with serine-rich domain 1;Apoptotic chromatin condensation inducer in the nucleus	12665594	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
995	Polycomb repressive complex 3	Human	PRC3 complex	None	O75530-2;O75530-3;Q09028;Q15022;Q15910;Q16576	8726;8726;5928;23512;2146;5931	MI:0091-chromatography technologies	GO:0045892;GO:0005634;GO:0070734	negative regulation of transcription, DNA-templated;nucleus;histone H3-K27 methylation	11.02.03.04.03;70.10	transcription repression;nucleus	EED;EED;RBBP4;SUZ12;EZH2;RBBP7	None	The PRC3 complex associates with the two shorter isoforms of EED (Eed2/3). PRC3 complex  preferentially methylates nucleosomal H3-lysine 27, whereas the PRC2 complex preferentially methylates nucleosomal H1-lysine 26.	None;None;RBAP48;CHET9, JJAZ1, KIAA0160;KMT6;RBAP46	Polycomb protein EED;Polycomb protein EED;Histone-binding protein RBBP4;Polycomb protein SUZ12;Histone-lysine N-methyltransferase EZH2;Histone-binding protein RBBP7	15099518	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
996	Polycomb repressive complex 2	Human	PRC2 complex	None	O75530-1;O75530-2;O75530-3;Q09028;Q15022;Q15910;Q16576	8726;8726;8726;5928;23512;2146;5931	MI:0091-chromatography technologies	GO:0005634;GO:0016571;GO:0045892	nucleus;histone methylation;negative regulation of transcription, DNA-templated	70.10;11.02.03.04.03	nucleus;transcription repression	EED;EED;EED;RBBP4;SUZ12;EZH2;RBBP7	None	The PRC2 complex associates with all three EED isoforms, with the largest form of EED in highest abundance. PRC3 complex  preferentially methylates nucleosomal H3-lysine 27, whereas the PRC2 complex preferentially methylates nucleosomal H1-lysine 26.	None;None;None;RBAP48;CHET9, JJAZ1, KIAA0160;KMT6;RBAP46	Polycomb protein EED;Polycomb protein EED;Polycomb protein EED;Histone-binding protein RBBP4;Polycomb protein SUZ12;Histone-lysine N-methyltransferase EZH2;Histone-binding protein RBBP7	15099518	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2261	GluR6a-GluR6b complex	Mouse	None	COS cells	P39087;P39087-2	14806;14806	MI:0019-coimmunoprecipitation	GO:0008324;GO:0006812;GO:0005216;GO:0007268;GO:0005886	cation transmembrane transporter activity;cation transport;ion channel activity;synaptic transmission;plasma membrane	20.01.01.01;20.03.01.01;34.03.01;70.02	cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;synaptic transmission;eukaryotic plasma membrane / membrane attached	Grik2;Grik2	None	None	Glur6beta;Glur6a	Glutamate receptor ionotropic, kainate 2;Glutamate receptor ionotropic, kainate 2	16102538	The authors show that the two splice variants of the GluR6 subunit, GluR6a and GluR6b, which differ in their C-terminal domains, do not show distinct functional properties, but coassemble as heteromers in vitro and in vivo.	Mus musculus (Mouse);Mus musculus (Mouse)
3569	Angiomotin isoform p80-Angiostatin complex	Mouse	None	None	P20918;Q8VHG2-2	18815;27494	MI:0096-pull down	GO:0006928;GO:0001568;GO:0001944	movement of cell or subcellular component;blood vessel development;vasculature development	34.05;47.03.03.02	cell motility;vessels	Plg;Amot	None	The complex is larger than 175 kDa, indicating that the complex consists of more than one angiostatin (38 kDa) and one p80 angiomotin (80 kDa) molecule.	None;Kiaa1071	Plasminogen;Angiomotin	16043488	None	Mus musculus (Mouse);Mus musculus (Mouse)
4062	VEGF-A165-KDR-NRP1 complex	Human	NRP1-VEGFR2-VEGF-A165 complex	None	O14786;P15692-4;P35968	8829;7422;3791	MI:0019-coimmunoprecipitation;MI:0107-surface plasmon resonance	GO:0007155;GO:0001525	cell adhesion;angiogenesis	34.07;41.05.16	cell adhesion;angiogenesis	NRP1;VEGFA;KDR	None	VEGF165 mediates the formation of complexes containing VEGFR2 and NRP1, which enhances the affinity of VEGF165 for VEGFR2 and therefore VEGFR2 signaling. VEGF121 does not promote VEGFR2\u00b7NRP1 complex formation.	NRP, VEGF165R;VEGF-A165;FLK1, VEGFR2	Neuropilin-1;Vascular endothelial growth factor A;Vascular endothelial growth factor receptor 2	17575273	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5696	NRP2-VEGF-A145 complex	Human	None	None	O60462;P15692-6	8828;7422	MI:0030-cross-linking studies	None	None	None	None	NRP2;VEGFA	None	None	VEGF165R2;VEGF-A145	Neuropilin-2;Vascular endothelial growth factor A	10748121	None	Homo sapiens (Human);Homo sapiens (Human)
5697	VEGF-A165-KDR-NRP1 complex	Human	VEGF165-VEGFR2-NRP1 complex	None	O14786;P15692-4;P35968	8829;7422;3791	MI:0006-anti bait coimmunoprecipitation	GO:0007167;GO:0001525;GO:0001568;GO:0001944	enzyme linked receptor protein signaling pathway;angiogenesis;blood vessel development;vasculature development	30.05.01;41.05.16;47.03.03.02	receptor enzyme mediated signalling;angiogenesis;vessels	NRP1;VEGFA;KDR	None	Binding of the isoform VEGF(165) to NRP1 is essential for the association of NRP1 and KDR (VEGFR2). In contrast, isoform VEGF(121) does not support the complex formation.	NRP, VEGF165R;VEGF-A165;FLK1, VEGFR2	Neuropilin-1;Vascular endothelial growth factor A;Vascular endothelial growth factor receptor 2	11948691	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5698	VEGF-A165b-FLT1 complex	Human	VEGF-A165b-VEGFR1 complex	None	P15692-8;P17948	7422;2321	MI:0019-coimmunoprecipitation	GO:0001525	angiogenesis	41.05.16	angiogenesis	VEGFA;FLT1	None	VEGF165b modulates VEGFR1 and a novel VEGFR1-STAT3 signaling pathway that promotes angiogenesis and perfusion recovery in PAD (peripheral arterial disease) (PMID:27974423).	VEGF VEGF-A165b;FLT FRT VEGFR1	Vascular endothelial growth factor A;Vascular endothelial growth factor receptor 1	27974423	None	Homo sapiens (Human);Homo sapiens (Human)
5701	NRP1-VEGF-A165/121 complex	Human	None	None	O14786;P15692-4	8829;7422	MI:0107-surface plasmon resonance	GO:0001525;GO:0001568;GO:0001944	angiogenesis;blood vessel development;vasculature development	41.05.16;47.03.03.02	angiogenesis;vessels	NRP1;VEGFA	None	In contrast to former publications (PMID:10991952), both isoforms of VEGFA, VEGF(165) and VEGF(121), bind to NRP1, but only VEGF165 is sufficient to promote complex formation between VEGFR2 and NRP1.	NRP, VEGF165R;VEGF-A165	Neuropilin-1;Vascular endothelial growth factor A	17575273	None	Homo sapiens (Human);Homo sapiens (Human)
