#UniProt1 UniProt2 pdbhit1 pdbhit2 identity1 identity2
B4DJ38 O75947 6j54_D 6j54_B 87.5 95.8
B4DJ38 O75947 6j5a_D 6j5a_B 87.5 95.8
B4DJ38 O75947 6j5i_P 6j5i_N 87.5 87.8
B4DJ38 O75947 6j5j_P 6j5j_N 87.5 87.8
B4DJ38 P00846 6j54_D 6j54_I 87.5 78.8
B4DJ38 P00846 6j5a_D 6j5a_I 87.5 78.8
B4DJ38 P00846 6j5i_P 6j5i_U 87.5 78.8
B4DJ38 P00846 6j5j_P 6j5j_U 87.5 78.8
B4DJ38 P24539 6j54_D 6j54_A 87.5 80.5
B4DJ38 P24539 6j5a_D 6j5a_A 87.5 80.5
B4DJ38 P24539 6j5i_P 6j5i_L 87.5 87.1
B4DJ38 P24539 6j5j_P 6j5j_L 87.5 87.1
O00217 O15239 5gup_H 5gup_S 92.9 80.0
O00217 O15239 6g2j_I 6g2j_AA 90.0 82.1
O00217 O15239 6g72_I 6g72_AA 90.0 82.9
O00217 O15239 5xtd_B 5xtd_Q 100.0 100.0
O00217 O15239 5xth_B 5xth_Q 100.0 100.0
O00217 O15239 6qbx_AA 6qbx_MB 96.0 80.0
O00217 O15239 6qc4_CB 6qc4_VA 96.0 80.0
O00217 O15239 6qc7_G 6qc7_SA 96.0 80.0
O00217 O43181 5gup_H 5gup_J 92.9 90.3
O00217 O43181 6g2j_I 6g2j_Q 90.0 87.4
O00217 O43181 6g72_I 6g72_Q 90.0 87.4
O00217 O43181 5xtb_B 5xtb_K 100.0 100.0
O00217 O43181 5xtd_B 5xtd_K 100.0 100.0
O00217 O43181 5xth_B 5xth_K 100.0 100.0
O00217 O43181 5lnk_G 5lnk_Q 96.0 95.5
O00217 O43181 5o31_H 5o31_KA 96.0 95.5
O00217 O43181 6q9d_G 6q9d_J 96.0 95.5
O00217 O43181 6qa9_G 6qa9_J 96.0 95.5
O00217 O43181 6qbx_AA 6qbx_DA 96.0 95.5
O00217 O43181 6qc2_CB 6qc2_FB 96.0 95.5
O00217 O43181 6qc3_AA 6qc3_DA 96.0 95.5
O00217 O43181 6qc4_CB 6qc4_FB 96.0 95.5
O00217 O43181 6qc5_G 6qc5_J 96.0 95.5
O00217 O43181 6qc6_G 6qc6_J 96.0 95.5
O00217 O43181 6qc7_G 6qc7_J 96.0 95.5
O00217 O43181 6qc8_G 6qc8_J 96.0 95.5
O00217 O75251 5gup_H 5gup_I 92.9 86.6
O00217 O75251 6g2j_I 6g2j_B 90.0 81.1
O00217 O75251 6g72_I 6g72_B 90.0 81.1
O00217 O75251 5xtb_B 5xtb_C 100.0 100.0
O00217 O75251 5xtd_B 5xtd_C 100.0 100.0
O00217 O75251 5xth_B 5xth_C 100.0 100.0
O00217 O75251 5lc5_I 5lc5_B 96.0 97.3
O00217 O75251 5ldw_I 5ldw_B 96.0 92.7
O00217 O75251 5lnk_G 5lnk_F 96.0 92.7
O00217 O75251 5o31_H 5o31_B 96.0 92.7
O00217 O75251 6q9d_G 6q9d_F 96.0 92.7
O00217 O75251 6qa9_G 6qa9_F 96.0 92.7
O00217 O75251 6qbx_AA 6qbx_Z 96.0 92.7
O00217 O75251 6qc2_CB 6qc2_BB 96.0 92.7
O00217 O75251 6qc3_AA 6qc3_Z 96.0 92.7
O00217 O75251 6qc4_CB 6qc4_BB 96.0 92.7
O00217 O75251 6qc5_G 6qc5_F 96.0 92.7
O00217 O75251 6qc6_G 6qc6_F 96.0 92.7
O00217 O75251 6qc7_G 6qc7_F 96.0 92.7
O00217 O75251 6qc8_G 6qc8_F 96.0 92.7
O00217 O75251 6gcs_I 6gcs_K 59.3 63.8
O00217 O75306 5gup_H 5gup_C 92.9 95.5
O00217 O75306 6g2j_I 6g2j_D 90.0 92.2
O00217 O75306 6g72_I 6g72_D 90.0 92.4
O00217 O75306 5xtb_B 5xtb_P 100.0 100.0
O00217 O75306 5xtd_B 5xtd_P 100.0 100.0
O00217 O75306 5xth_B 5xth_P 100.0 100.0
O00217 O75306 5lc5_I 5lc5_D 96.0 95.8
O00217 O75306 5ldw_I 5ldw_D 96.0 95.8
O00217 O75306 5lnk_G 5lnk_D 96.0 96.1
O00217 O75306 5o31_H 5o31_D 96.0 95.8
O00217 O75306 6q9d_G 6q9d_D 96.0 95.8
O00217 O75306 6qa9_G 6qa9_D 96.0 95.8
O00217 O75306 6qbx_AA 6qbx_X 96.0 95.8
O00217 O75306 6qc2_CB 6qc2_ZA 96.0 95.8
O00217 O75306 6qc3_AA 6qc3_X 96.0 95.8
O00217 O75306 6qc4_CB 6qc4_ZA 96.0 95.8
O00217 O75306 6qc5_G 6qc5_D 96.0 95.8
O00217 O75306 6qc6_G 6qc6_D 96.0 95.8
O00217 O75306 6qc7_G 6qc7_D 96.0 95.8
O00217 O75306 6qc8_G 6qc8_D 96.0 95.8
O00217 O75306 6gcs_I 6gcs_C 59.3 65.7
O00217 O75380 5gup_H 5gup_F 92.9 82.8
O00217 O75380 6g2j_I 6g2j_R 90.0 79.0
O00217 O75380 6g72_I 6g72_R 90.0 79.0
O00217 O75380 5xtb_B 5xtb_Q 100.0 100.0
O00217 O75380 5xtd_B 5xtd_R 100.0 100.0
O00217 O75380 5xth_B 5xth_R 100.0 100.0
O00217 O75380 5lc5_I 5lc5_R 96.0 97.1
O00217 O75380 5ldw_I 5ldw_R 96.0 97.1
O00217 O75380 5lnk_G 5lnk_P 96.0 90.6
O00217 O75380 5o31_H 5o31_LA 96.0 89.6
O00217 O75380 6q9d_G 6q9d_I 96.0 90.6
O00217 O75380 6qa9_G 6qa9_I 96.0 90.6
O00217 O75380 6qbx_AA 6qbx_CA 96.0 90.6
O00217 O75380 6qc2_CB 6qc2_EB 96.0 90.6
O00217 O75380 6qc3_AA 6qc3_CA 96.0 90.6
O00217 O75380 6qc4_CB 6qc4_EB 96.0 90.6
O00217 O75380 6qc5_G 6qc5_I 96.0 90.6
O00217 O75380 6qc6_G 6qc6_I 96.0 90.6
O00217 O75380 6qc7_G 6qc7_I 96.0 90.6
O00217 O75380 6qc8_G 6qc8_I 96.0 90.6
O00217 O75489 5gup_H 5gup_D 92.9 90.2
O00217 O75489 6g2j_I 6g2j_C 90.0 87.8
O00217 O75489 6g72_I 6g72_C 90.0 87.8
O00217 O75489 5xtb_B 5xtb_O 100.0 100.0
O00217 O75489 5xtd_B 5xtd_O 100.0 100.0
O00217 O75489 5xth_B 5xth_O 100.0 100.0
O00217 O75489 5lc5_I 5lc5_C 96.0 96.1
O00217 O75489 5ldw_I 5ldw_C 96.0 94.7
O00217 O75489 5lnk_G 5lnk_E 96.0 95.2
O00217 O75489 5o31_H 5o31_C 96.0 94.7
O00217 O75489 6q9d_G 6q9d_E 96.0 95.2
O00217 O75489 6qa9_G 6qa9_E 96.0 95.2
O00217 O75489 6qbx_AA 6qbx_Y 96.0 95.2
O00217 O75489 6qc2_CB 6qc2_AB 96.0 95.2
O00217 O75489 6qc3_AA 6qc3_Y 96.0 95.2
O00217 O75489 6qc4_CB 6qc4_AB 96.0 95.2
O00217 O75489 6qc5_G 6qc5_E 96.0 95.2
O00217 O75489 6qc6_G 6qc6_E 96.0 95.2
O00217 O75489 6qc7_G 6qc7_E 96.0 95.2
O00217 O75489 6qc8_G 6qc8_E 96.0 95.2
O00217 O75489 6gcs_I 6gcs_G 59.3 54.7
O00217 O95167 5gup_H 5gup_T 92.9 78.6
O00217 O95167 6g2j_I 6g2j_BA 90.0 79.8
O00217 O95167 6g72_I 6g72_BA 90.0 81.0
O00217 O95167 5xtd_B 5xtd_S 100.0 100.0
O00217 O95167 5xth_B 5xth_S 100.0 100.0
O00217 O95167 5lc5_I 5lc5_BA 96.0 75.6
O00217 O95167 5ldw_I 5ldw_BA 96.0 75.6
O00217 O95167 5lnk_G 5lnk_AA 96.0 83.1
O00217 O95167 5o31_H 5o31_W 96.0 75.6
O00217 O95167 6qa9_G 6qa9_FA 96.0 83.1
O00217 O95167 6qbx_AA 6qbx_AB 96.0 83.1
O00217 O95167 6qc2_CB 6qc2_O 96.0 83.1
O00217 O95167 6qc3_AA 6qc3_ZA 96.0 83.1
O00217 O95167 6qc4_CB 6qc4_IA 96.0 83.1
O00217 O95167 6qc5_G 6qc5_GA 96.0 83.1
O00217 O95167 6qc6_G 6qc6_FA 96.0 83.1
O00217 O95167 6qc7_G 6qc7_FA 96.0 83.1
O00217 O95167 6qc8_G 6qc8_FA 96.0 83.1
O00217 O95182 5gup_H 5gup_M 92.9 90.3
O00217 O95182 6g2j_I 6g2j_RA 90.0 90.3
O00217 O95182 6g72_I 6g72_RA 90.0 91.2
O00217 O95182 5xtb_B 5xtb_H 100.0 100.0
O00217 O95182 5xtd_B 5xtd_H 100.0 100.0
O00217 O95182 5xth_B 5xth_H 100.0 100.0
O00217 O95182 5lnk_G 5lnk_V 96.0 87.5
O00217 O95182 5o31_H 5o31_MA 96.0 88.4
O00217 O95182 6q9d_G 6q9d_O 96.0 87.5
O00217 O95182 6qa9_G 6qa9_O 96.0 87.5
O00217 O95182 6qbx_AA 6qbx_IA 96.0 87.5
O00217 O95182 6qc2_CB 6qc2_KB 96.0 87.5
O00217 O95182 6qc3_AA 6qc3_IA 96.0 87.5
O00217 O95182 6qc4_CB 6qc4_KB 96.0 87.5
O00217 O95182 6qc5_G 6qc5_O 96.0 87.5
O00217 O95182 6qc6_G 6qc6_O 96.0 87.5
O00217 O95182 6qc7_G 6qc7_O 96.0 87.5
O00217 O95182 6qc8_G 6qc8_O 96.0 87.5
O00217 P03886 5gup_H 5gup_RA 92.9 75.6
O00217 P03886 6g2j_I 6g2j_H 90.0 75.3
O00217 P03886 6g72_I 6g72_H 90.0 75.3
O00217 P03886 5xtd_B 5xtd_PA 100.0 99.4
O00217 P03886 5xth_B 5xth_PA 100.0 99.4
O00217 P03886 5lc5_I 5lc5_H 96.0 77.3
O00217 P03886 5ldw_I 5ldw_H 96.0 77.5
O00217 P03886 5lnk_G 5lnk_H 96.0 75.6
O00217 P03886 5o31_H 5o31_G 96.0 77.5
O00217 P03886 6qa9_G 6qa9_S 96.0 75.6
O00217 P03886 6qbx_AA 6qbx_NA 96.0 75.6
O00217 P03886 6qc2_CB 6qc2_B 96.0 75.6
O00217 P03886 6qc3_AA 6qc3_MA 96.0 75.6
O00217 P03886 6qc4_CB 6qc4_V 96.0 75.6
O00217 P03886 6qc5_G 6qc5_T 96.0 75.6
O00217 P03886 6qc6_G 6qc6_S 96.0 75.6
O00217 P03886 6qc7_G 6qc7_S 96.0 75.6
O00217 P03886 6qc8_G 6qc8_S 96.0 75.6
O00217 P03886 6gcs_I 6gcs_IA 59.3 42.2
O00217 P28331 5gup_H 5gup_G 92.9 96.8
O00217 P28331 6g2j_I 6g2j_G 90.0 94.1
O00217 P28331 6g72_I 6g72_G 90.0 94.1
O00217 P28331 5xtb_B 5xtb_L 100.0 100.0
O00217 P28331 5xtd_B 5xtd_L 100.0 100.0
O00217 P28331 5xth_B 5xth_L 100.0 100.0
O00217 P28331 5lc5_I 5lc5_G 96.0 98.7
O00217 P28331 5ldw_I 5ldw_G 96.0 99.0
O00217 P28331 5lnk_G 5lnk_C 96.0 97.3
O00217 P28331 5o31_H 5o31_IA 96.0 97.4
O00217 P28331 6q9d_G 6q9d_C 96.0 97.3
O00217 P28331 6qa9_G 6qa9_C 96.0 97.3
O00217 P28331 6qbx_AA 6qbx_W 96.0 97.3
O00217 P28331 6qc2_CB 6qc2_YA 96.0 97.3
O00217 P28331 6qc3_AA 6qc3_W 96.0 97.3
O00217 P28331 6qc4_CB 6qc4_YA 96.0 97.3
O00217 P28331 6qc5_G 6qc5_C 96.0 97.3
O00217 P28331 6qc6_G 6qc6_C 96.0 97.3
O00217 P28331 6qc7_G 6qc7_C 96.0 97.3
O00217 P28331 6qc8_G 6qc8_C 96.0 97.3
O00217 P28331 6gcs_I 6gcs_A 59.3 54.0
O00217 Q16718 6g2j_I 6g2j_V 90.0 82.8
O00217 Q16718 6g72_I 6g72_V 90.0 82.8
O00217 Q16718 5lnk_G 5lnk_T 96.0 87.0
O00217 Q16718 6qbx_AA 6qbx_GA 96.0 87.0
O00217 Q16718 6qc2_CB 6qc2_IB 96.0 87.0
O00217 Q16718 6qc4_CB 6qc4_IB 96.0 87.0
O00217 Q16718 6qc6_G 6qc6_M 96.0 87.0
O00217 Q16718 6qc7_G 6qc7_M 96.0 87.0
O00217 Q16718 6qc8_G 6qc8_M 96.0 87.0
O00217 Q16718 6gcs_I 6gcs_F 59.3 38.5
O00217 Q16795 5gup_H 5gup_L 92.9 81.4
O00217 Q16795 6g2j_I 6g2j_P 90.0 78.5
O00217 Q16795 6g72_I 6g72_P 90.0 78.5
O00217 Q16795 5xtb_B 5xtb_I 100.0 100.0
O00217 Q16795 5xtd_B 5xtd_I 100.0 100.0
O00217 Q16795 5xth_B 5xth_I 100.0 100.0
O00217 Q16795 5lnk_G 5lnk_R 96.0 82.0
O00217 Q16795 6q9d_G 6q9d_K 96.0 82.0
O00217 Q16795 6qa9_G 6qa9_K 96.0 82.0
O00217 Q16795 6qbx_AA 6qbx_EA 96.0 82.0
O00217 Q16795 6qc2_CB 6qc2_GB 96.0 82.0
O00217 Q16795 6qc3_AA 6qc3_EA 96.0 82.0
O00217 Q16795 6qc4_CB 6qc4_GB 96.0 82.0
O00217 Q16795 6qc5_G 6qc5_K 96.0 82.0
O00217 Q16795 6qc6_G 6qc6_K 96.0 82.0
O00217 Q16795 6qc7_G 6qc7_K 96.0 82.0
O00217 Q16795 6qc8_G 6qc8_K 96.0 82.0
O00217 Q16795 6gcs_I 6gcs_E 59.3 35.1
O00217 Q9P0J0 5gup_H 5gup_W 92.9 86.8
O00217 Q9P0J0 6g2j_I 6g2j_Z 90.0 83.3
O00217 Q9P0J0 6g72_I 6g72_Z 90.0 83.3
O00217 Q9P0J0 5xtb_B 5xtb_R 100.0 100.0
O00217 Q9P0J0 5xtd_B 5xtd_U 100.0 100.0
O00217 Q9P0J0 5xth_B 5xth_U 100.0 100.0
O00217 Q9P0J0 5lc5_I 5lc5_Z 96.0 82.6
O00217 Q9P0J0 5ldw_I 5ldw_Z 96.0 82.6
O00217 Q9P0J0 5lnk_G 5lnk_EA 96.0 83.2
